pop.id,mf,dame_mf,sire_mf,Rep,bed,row,col,status,Type,block_2025,block,Unique.ID
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,C,37,C,available,BC1,,C,3897
(WL2 X WL1) X WL2,3_12,3,12,,C,37,D,available,BC1,,C,3718
(WL1 X WL2) x WL2,,,,,C,38,C,available,,,C,3743
(CC X WL2) X WL2,4_3,4,3,,C,38,D,available,BC1,,C,3866
WL2,23_2025,23,2025,,C,39,C,available,Parent,,C,3808
WL2,25_2025,25,2025,,C,40,C,available,Parent,,C,3795
(WL2 X WL1) X WL2,3_12,3,12,26,C,40,D,available,BC1,,C,3411
(WL1 X WL2) X WL2,10_2-A,10,2-A,5,C,41,C,available,BC1,,C,3298
(CC X WL2) X WL2,4_7-6,4,6-Jul,15,C,41,D,available,BC1,,C,3227
(TM2 X WL2) X WL2,3_2-A,3,2-A,17,C,42,C,available,BC1,,C,3265
(WL2 x WV) x (CC x WL2),1_1,,,8,C,42,D,2025-survivor,,C,,2554
,,,,,C,43,C,buffer,,,C,buffer
,,,,,C,43,D,buffer,,,C,buffer
CC,4_2025,4,2025,16,C,44,C,available,Parent,,D,3544
BH,12_2025,12,2025,12,C,44,D,available,Parent,,D,3519
(WL1 X WL2) X WL2,10_2-A,10,2-A,40,C,45,C,available,BC1,,D,3333
(WL2 X DPR) X WL2,3_13 -B,3,13 -B,,C,45,D,available,BC1,,D,3910
,,,,,C,46,C,out-of-bounds,,,,
(CC X WL2) X WL2,4_3,4,3,,C,46,D,available,BC1,,D,3868
(TM2 X WL2) X WL2,3_2,3,2,,C,47,D,available,BC1,,D,3904
(WL1 X WL2) x WL2,,,,,C,48,C,available,,,D,3744
WL2,9_2025,9,2025,,C,48,D,available,Parent,,D,3798
(WL2 X CC) X WL2,1_12,1,12,19,C,49,C,available,BC1,,D,3434
(WL2 X CC) X WL2,1_7-16,1,16-Jul,32,C,49,D,available,BC1,,D,3447
SQ3,1_2023,1,2023,2,C,50,C,available,Parent,,D,3022
(WL2 X CC) X WL2,1_3,1,3,44,C,50,D,available,BC1,,D,3459
(WL2 X DPR) X WL2,4_13-B,4,13-B,,C,51,C,available,BC1,,D,3926
(WL2 X CC) X WL2,1_3,1,3,,C,51,D,available,BC1,,D,3939
(DPR X WL2) X WL2,7,7,,,C,52,D,available,BC1,,D,3769
TM2,41_2025,41,2025,71,C,53,C,available,Parent,,D,3662
TM2,11,,,76,C,53,D,2025-survivor,,C,,2640
WL1,14_2023,14,2023,4,C,54,C,available,Parent,,D,3045
TM2,12_2025,12,2025,17,C,55,C,available,Parent,,D,3608
DPR,19_2022,19,2022,13,C,55,D,available,Parent,,D,3562
BH,12_2025,12,2025,,C,56,C,available,Parent,,D,3693
(WL2 x BH) x (WL2 x CC),1_2,,,7,C,56,D,2025-survivor,,D,,2519
(WV x TM2) x (WL2 x TM2),3_1,,,2,C,57,D,2025-survivor,,D,,2559
WL2,1_2025,1,2025,,C,58,C,available,Parent,,E,3809
WL2,2,,,12,C,58,D,2025-survivor,,D,,1835
WL2 x TM2,,,,4,C,59,C,2025-survivor,,D,,2031
(WL2) x (WL2 x BH),3-14_1,,,3,C,59,D,2025-survivor,,D,,2457
(WL2 X CC) X WL2,1_3,1,3,43,D,6,A,available,BC1,,I,3458
TM2,42_2025,42,2025,74,D,6,B,available,Parent,,I,3665
,,,,,D,7,A,out-of-bounds,,,,
BH,3_2025,3,2025,,D,7,B,available,Parent,,I,3699
,,,,,D,8,A,out-of-bounds,,,,
(WL1 X WL2) x WL2,,,,,D,8,B,available,,,I,3733
,,,,,D,9,A,out-of-bounds,,,H,
,,,,,D,9,B,out-of-bounds,,,H,
(WL2 X CC) X WL2,1_3,1,3,,D,10,A,available,BC1,,H,3882
TM2,29_2025,29,2025,25,D,10,B,available,Parent,,H,3616
(WL2 X CC) X WL2,6_7-16,6,16-Jul,1,D,11,B,available,BC1,,H,3416
(WL2 X WV) X WL2,15_2-A,15,2-A,3,D,12,A,available,BC1,,H,3232
WL2,3_2025,3,2025,66,D,12,B,available,Parent,,H,3149
WL2,25_2025,25,2025,17,D,13,A,available,Parent,,H,3100
(WL2 X DPR) X WL2,4_13-B,4,13-B,,D,13,B,available,BC1,,H,3927
(WL1 X WL2) X WL2,10_2-A,10,2-A,12,D,14,A,available,BC1,,H,3305
(WL2 x BH) x (WL2 x CC),1_2,,,14,D,14,B,2025-survivor,,D,,2205
TM2,36_2025,36,2025,,D,15,B,available,Parent,,H,3780
(WV X WL2) X WL2,,,,5,D,16,A,available,BC1,,H,3195
(WL2 X BH) X WL2,2_3-14,2,14-Mar,5,D,16,B,available,BC1,,H,3190
(DPR X WL2) X WL2,5_12,5,12,12,D,17,A,available,BC1,,H,3355
DPR,14_2025,14,2025,21,D,17,B,available,Parent,,H,3570
SQ3,6_2023,6,2023,11,D,18,A,available,Parent,,H,3031
(WL2 X CC) X WL2,1_12,1,12,,D,18,B,available,BC1,,H,3837
(TM2 X WL2) X WL2,2_2-16,2,16-Feb,1,D,19,A,available,BC1,,H,3249
BH,3_2025,3,2025,21,D,19,B,available,Parent,,H,3528
WL2,4_2025,4,2025,,D,20,A,available,Parent,,H,3812
WV,15_2023,15,2023,19,D,20,B,available,Parent,,H,3589
,,,,,D,21,A,buffer,,,G,buffer
,,,,,D,21,B,buffer,,,G,buffer 
TM2,34_2025,34,2025,,D,22,A,available,Parent,,G,3779
(DPR x TM2) x (TM2 x WL2),3_2,,,6,D,22,B,2025-survivor,,E,,2593
WL2,24_2025,24,2025,13,D,23,A,available,Parent,,G,3096
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,D,23,B,available,BC1,,G,3894
(TM2 x WL2) x (TM2),3_1-3,,,1,D,24,A,2025-survivor,,E,,2597
(CC x WL2) x (WL2),4_2A,,,15,D,24,B,2025-survivor,,E,,2440
(DPR X WL2) X WL2,5_12,5,12,11,D,25,A,available,BC1,,G,3354
(WL2 x BH) x (WL2 x TM2),2_3,,,9,D,25,B,2025-survivor,,E,,2222
WL2,18_2025,18,2025,94,D,26,A,available,Parent,,G,3177
(CC X WL2) X WL2,4_7-6,4,6-Jul,,D,26,B,available,BC1,,G,3878
(WL1 X WL2) x WL2,,,,,D,27,A,available,,,G,3731
(WL2 X DPR) X WL2,3_13-B,3,13-B,12,D,27,B,available,BC1,,G,3280
WL2,5,,,41,D,28,A,2025-survivor,,E,,1864
(WL2 X CC) X WL2,1_12,1,12,,D,28,B,available,BC1,,G,3833
(WL2 X WL1) X WL2,12,,12,6,D,29,A,available,BC1,,G,3391
TM2,25_2025,25,2025,,D,29,B,available,Parent,,G,3791
