block,bed,row,col,Unique.ID,Pop.Type,pop.id,mf,dame_mf,sire_mf,rep,FruitsY1,Establishment,Y1Surv,WintSurv,LifeHistory,SurvtoBud,FruitsY2,TotalFruit,ProbFruit,TotalFitness
D,D,11,B,1822,Parent,WL1,13,13,NA,20,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,D,13,A,2470,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,10,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
D,D,13,B,2209,F2,(WL2 x BH) x (WL2 x CC),2_3,2,3,18,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,D,14,A,2417,F1,SQ3 x WL2,6-C_8-A,6-C,8-A,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
D,D,14,B,2205,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,14,NA,1,1,1,Non-Rep,0,NA,0,0,0
D,D,15,A,1790,Parent,TM2,NA,NA,NA,86,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
E,D,16,A,1995,F1,TM2 x WL2,2_2,2,2,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,16,B,1961,Parent,YO11,5,5,NA,19,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,17,A,2240,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,18,A,2521,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,8,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,18,B,2610,F2,(WV x TM2) x (TM2 x WL2),2_1,2,1,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
NA,D,19,A,2393,Parent,WL2,2,2,NA,12,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
E,D,20,A,2532,F2,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
E,D,21,A,2363,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,11,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
E,D,21,B,2609,F2,(WV x TM2) x (TM2 x WL2),2_1,2,1,4,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
E,D,22,A,2206,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,15,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,22,B,2593,F2,(DPR x TM2) x (TM2 x WL2),3_2,3,2,6,NA,1,1,1,Biennial,1,6,6,1,6
E,D,23,A,1894,Parent,WL2,8,8,NA,71,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,23,B,2413,F1,BH x WL2,19-A_8-A,19-A,8-A,5,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
E,D,24,A,2597,F2,(TM2 x WL2) x (TM2),3_1-3,3,3-Jan,1,NA,1,1,1,Biennial,1,0,0,0,0
E,D,24,B,2440,F2,(CC x WL2) x (WL2),4_2A,4,2A,15,NA,1,1,1,Non-Rep,0,NA,0,0,0
E,D,25,A,2504,F2,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,2,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
E,D,25,B,2222,F2,(WL2 x BH) x (WL2 x TM2),2_3,2,3,9,NA,1,1,1,Biennial,1,6,6,1,6
E,D,26,A,2577,F2,(WV x WL2) x (WV),20_7-3,20,3-Jul,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,26,B,1803,Parent,WL1,8,8,NA,1,NA,1,1,0,Non-Rep,NA,NA,0,0,0
E,D,27,A,1939,Parent,WV,11,11,NA,18,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
