parent.pop,elevation.group,elev_m,Lat,Long,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
BH,low,511.4294422,37.40985,-119.96458,recent,2015,92.61999999999999,0,22.92,10.089166666666667,24.75166666666667,17.420416666666668,14.662500000000001,6.187198829523794,31.009999999999998,275.03999999999996,128.36583098241914,9.84,25.685,0.08,5.71,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2016,72.59833333333334,0,63.09916666666666,9.040000000000001,23.593333333333334,16.316666666666666,14.553333333333333,7.016076776470832,34.48,757.1899999999999,105.61008477979775,8.36,26.119999999999997,0,155.14,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2017,72.79833333333333,0,80.54666666666667,9.593333333333334,23.5625,16.577916666666667,13.969166666666666,7.29836297284078,34.58,966.56,143.43153563026505,7.075,27.56,0.05,363.94,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2018,75.17833333333333,0,40.660000000000004,9.309166666666666,24.179166666666667,16.74416666666667,14.87,6.799718187119407,34.559999999999995,487.91999999999996,185.61017776184778,9.875,24.927500000000002,0,14.84,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2019,69.31333333333333,0,64.93083333333333,9.088333333333333,23.011666666666667,16.05,13.923333333333334,6.928955713000861,33.06,779.17,117.21968976328303,6.44,22.77166666666667,0,233.15,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2020,78.08749999999999,0,33.11666666666667,9.888333333333334,24.394166666666667,17.14125,14.505833333333333,7.095866314270584,33.19,397.3999999999999,138.51793759765553,9.01,23.708333333333332,0.27,22.53,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2021,87.57333333333334,0,33.42166666666667,9.965,24.45,17.2075,14.485000000000001,7.839318297124845,34.63,401.06,134.58118651296212,8.67,24.22,0.07,152.47,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2022,83.01666666666667,0,27.0675,11.04,24.871666666666666,17.955833333333334,13.831666666666667,7.3781596724057925,32.82,324.81000000000006,197.0644605495932,8.27,23.96,3.26,196.22,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2023,74.72,0,86.04083333333332,9.736666666666666,21.991666666666667,15.864166666666666,12.255,7.819954031872953,35.14,1032.4899999999998,134.43895619619047,7.710000000000001,28.520000000000003,0.04,116.36,Water Year
BH,low,511.4294422,37.40985,-119.96458,recent,2024,74.15916666666666,0,43.550000000000004,11.5875,23.822499999999998,17.705,12.235,7.376429291392217,32.89,522.6,120.32398725906594,9.89,24.625,0.81,108.76,Water Year
CC,low,313,39.58597,-121.43311,historic,1965,58.06416666666667,0,94.89916666666667,8.895833333333334,22.648333333333333,15.772083333333333,13.752500000000001,6.293916058866737,31.6,1138.79,129.96830448143604,9.190000000000001,25.25,0,257.82,Water Year
CC,low,313,39.58597,-121.43311,historic,1966,65.51,0,57.79583333333333,8.884166666666665,23.660833333333333,16.2725,14.776666666666667,7.2410623592749905,35.14,693.5499999999998,129.09172209802546,11.775,18.134999999999998,0.01,115.76,Water Year
CC,low,313,39.58597,-121.43311,historic,1967,57.333333333333336,0,111.39583333333334,9.159166666666668,23.0175,16.08833333333333,13.858333333333333,7.787145682391454,35.11,1336.7499999999998,109.89087040706085,8.035,27.185000000000002,0.19,177.05,Water Year
CC,low,313,39.58597,-121.43311,historic,1968,61.619166666666665,0,71.10333333333332,8.455,23.83,16.1425,15.375,6.369476038105489,34.88,853.2400000000002,97.93641542548602,6.5,25.655,0,216.19,Water Year
CC,low,313,39.58597,-121.43311,historic,1969,63.01416666666667,1.7858333333333336,107.96333333333334,8.308333333333334,22.296666666666667,15.3025,13.988333333333333,7.536945215524536,34.62,1295.56,124.02388118502357,6.125,22.80166666666667,0.02,232.97,Water Year
CC,low,313,39.58597,-121.43311,historic,1970,61.06,0,95.85583333333332,8.965833333333332,23.876666666666665,16.42125,14.910833333333333,6.227446260853495,31.49,1150.27,152.5768911150483,9.285,24.345,0,456.52,Water Year
CC,low,313,39.58597,-121.43311,historic,1971,63.469166666666666,0,76.6575,8.319166666666666,22.330833333333334,15.325000000000001,14.011666666666667,7.013871969176512,33.81,919.8899999999998,133.18597197222527,6.605,26.314999999999998,0,281.53,Water Year
CC,low,313,39.58597,-121.43311,historic,1972,62.455,0,57.405,8.557500000000001,22.83416666666667,15.695833333333333,14.276666666666666,6.969847015842058,34.63999999999999,688.8600000000001,91.21505250571455,5.49,25.72,0,185.79,Water Year
CC,low,313,39.58597,-121.43311,historic,1973,63.09,0.5916666666666666,101.32583333333334,8.754166666666666,22.289166666666667,15.521666666666667,13.535,7.485111990822283,34.900000000000006,1215.91,115.89763133047605,6.285,24.92,0,139.9,Water Year
CC,low,313,39.58597,-121.43311,historic,1974,56.030833333333334,0,113.715,9.15,22.6825,15.91625,13.5325,7.0628603287002125,31.37,1364.5800000000002,111.86731457979226,9.825,24.697499999999998,0,194.16,Water Year
CC,low,313,39.58597,-121.43311,historic,1975,52.784166666666664,0,85.38916666666665,8.324166666666667,21.802500000000002,15.063333333333333,13.478333333333333,6.9599396984500235,31.22,1024.67,115.99395589282899,8.365,23.805,5.54,107.92,Water Year
CC,low,313,39.58597,-121.43311,historic,1976,61.68833333333333,0,31.06,8.249166666666667,22.8775,15.563333333333333,14.628333333333334,6.389332136578529,33.38,372.71999999999997,82.30845487625668,9.925,19.395,0.03,20.11,Water Year
